Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,RSI,Unemployment_Rate,CPI,Fed_Funds_Rate,SP500
2019-03-20,46.557499,47.372501,46.182499,47.040001,45.596584,124140800,46.628,44.512125,80.39690181091675,3.8,254.277,2.41,2803.69
2019-03-21,47.505001,49.0825,47.452499,48.772499,47.275917,204136800,47.196,44.8125,83.7583598937182,3.8,254.277,2.41,2803.69
2019-03-22,48.834999,49.422501,47.695,47.762501,46.296913,169630800,47.4425004,45.038500049999996,73.05824356089275,3.8,254.277,2.41,2803.69
2019-03-25,47.877499,47.994999,46.650002,47.185001,45.737133,175381200,47.478500399999994,45.21987515,68.89843420869059,3.8,254.277,2.41,2803.69
2019-03-26,47.915001,48.220001,46.145,46.697498,45.264595,199202000,47.491499999999995,45.375625050000004,67.09387558856208,3.8,254.277,2.41,2803.69
2019-03-27,47.1875,47.439999,46.637501,47.1175,45.671711,119393600,47.5069998,45.545625099999995,72.4613119724053,3.8,254.277,2.41,2803.69
2019-03-28,47.237499,47.389999,46.8825,47.18,45.732288,83121600,47.1885,45.740250200000006,72.33680508500535,3.8,254.277,2.41,2803.69
2019-03-29,47.4575,47.52,47.134998,47.487499,46.03035,94256000,47.13349960000001,45.92750015,68.03786611957811,3.8,254.277,2.41,2803.69
2019-04-01,47.91,47.919998,47.095001,47.810001,46.34296,111448000,47.25849960000001,46.1198751,67.2684628453559,3.7,255.233,2.42,2867.19
2019-04-02,47.772499,48.615002,47.762501,48.505001,47.016636,91062800,47.62000020000001,46.35100015,69.30070769493597,3.7,255.233,2.42,2867.19
2019-04-03,48.3125,49.125,48.287498,48.837502,47.33894,93087200,47.964000600000006,46.6113752,68.62179739069465,3.7,255.233,2.42,2867.19
2019-04-04,48.697498,49.092499,48.285,48.922501,47.421318,76457200,48.312500799999995,46.90125025,66.41509454674892,3.7,255.233,2.42,2867.19
2019-04-05,49.112499,49.275002,48.982498,49.25,47.738766,74106400,48.665001,47.2023752,65.72127490702735,3.7,255.233,2.42,2867.19
2019-04-08,49.105,50.057499,49.084999,50.025002,48.490002,103526800,49.1080012,47.467375399999995,72.48922904117784,3.7,255.233,2.42,2867.19
2019-04-09,50.080002,50.712502,49.807499,49.875,48.344597,143072800,49.382000999999995,47.69975035,69.45776976131108,3.7,255.233,2.42,2867.19
2019-04-10,49.669998,50.185001,49.544998,50.154999,48.615993,86781200,49.645500399999996,47.9361252,61.85168090697202,3.7,255.233,2.42,2867.19
2019-04-11,50.212502,50.25,49.610001,49.737499,48.211315,83603200,49.8085,48.1263752,68.84537199179852,3.7,255.233,2.42,2867.19
2019-04-12,49.799999,50.035,49.052502,49.717499,48.191929,111042800,49.9019998,48.2857502,77.04211076628168,3.7,255.233,2.42,2867.19
2019-04-15,49.645,49.962502,49.502499,49.807499,48.279167,70146400,49.8584992,48.4258751,86.28935088757187,3.7,255.233,2.42,2867.19
2019-04-16,49.865002,50.342499,49.639999,49.8125,48.284016,102785600,49.8459992,48.5848751,84.81908545830959,3.7,255.233,2.42,2867.19
2019-04-17,49.884998,50.845001,49.6525,50.782501,49.224243,115627200,49.9714996,48.7720001,87.70274442412934,3.7,255.233,2.42,2867.19
2019-04-18,50.779999,51.037498,50.630001,50.965,49.401154,96783200,50.2169998,48.88162515,87.3723510238033,3.7,255.233,2.42,2867.19
2019-04-22,50.7075,51.235001,50.584999,51.1325,49.563507,77758000,50.5,49.0501251,86.93715157054925,3.7,255.233,2.42,2867.19
2019-04-23,51.107498,51.9375,50.974998,51.869999,50.278385,93292000,50.9125,49.284375,87.05943301346562,3.7,255.233,2.42,2867.19
